,Title
0,Evil
1,The Haves and the Have Nots
2,House of Payne
3,Rosewood
4,The Cleveland Show
5,Doc McStuffins
6,Superior Donuts
7,Real Husbands of Hollywood
8,On Our Own
9,For Better or Worse
10,Love Thy Neighbor
11,Barbershop
12,Sanford
13,Kojak
14,Sanford Arms
