IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes
1641349,Terra Nova,46.0,"Adventure, Drama, Mystery            ",6.8,79817,"    Centers on the Shannons, an ordinary family from 2149 when the planet is dying, who are transported back 85 million years to prehistoric Earth where they join Terra Nova, a colony of humans with a second chance to build a civilization.","Jason O'Mara, Shelley Conn, Christine Adams, Allison Miller",2011,,13
0835434,In Treatment,25.0,Drama            ,8.3,15320,"    A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.","Gabriel Byrne, Dianne Wiest, Michelle Forbes, Blair Underwood",2008,2021,107
5638056,The Mick,30.0,Comedy            ,7.8,13922,    A hard-living aunt is forced to take care of her wealthy sister's spoiled kids after the mom flees the country to avoid criminal charges.,"Kaitlin Olson, Sofia Black-D'Elia, Thomas Barbusca, Carla Jimenez",2017,2018,37
1552112,The Glades,60.0,"Action, Crime, Drama            ",7.5,11863,    A former Chicago cop moves to a small Florida town and joins the state police.,"Matt Passmore, Kiele Sanchez, Carlos Gómez, Jordan Wall",2010,2013,49
0851851,Terminator: The Sarah Connor Chronicles,60.0,"Action, Drama, Fantasy            ",7.7,57263,"    Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon.","Lena Headey, Thomas Dekker, Summer Glau, Richard T. Jones",2008,2009,31
2427220,Crossing Lines,43.0,"Action, Crime, Drama            ",7.4,12289,"    A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice.","Tom Wlaschiha, Donald Sutherland, Lara Rossi, William Fichtner",2013,2015,34
2817246,Girlfriends' Guide to Divorce,60.0,"Comedy, Drama            ",6.9,3875,    Follows a best-selling author of a self-help book series who hides her recent separation as she starts to navigate her life as a single woman in her 40s in Los Angeles.,"Lisa Edelstein, Beau Garrett, Necar Zadegan, Alanna Ubach",2014,2018,45
2964642,Life Below Zero,44.0,"Documentary, Adventure, Reality-TV            ",8.0,1555,    The everyday struggles of living in the secluded state of Alaska where one wrong decision could cost you your life.,"James Franzo, Sue Aikens, Agnes Hailstone, Chip Hailstone",2013, ,171
10580064,Most Dangerous Game,7.0,"Short, Action, Thriller            ",7.3,2474,"    Desperate to take care of his pregnant wife before a terminal illness can take his life, Dodge Maynard accepts an offer to participate in a deadly game where he soon discovers that he's not the hunter - but the prey.","Liam Hemsworth, Sarah Gadon, Christoph Waltz, Zach Cherry",2020, ,15
9789660,Transformers: War for Cybertron,30.0,"Animation, Action, Sci-Fi            ",7.4,2369,    Animated series set in the world of battling Autobots and Decepticons.,"Jason Marnocha, Frank Todaro, Jake Foushee, Bill Rogers",2020, ,18
0278238,Samurai Jack,25.0,"Animation, Action, Adventure            ",8.5,45713,    A samurai sent through time fights to return home and save the world.,"Phil LaMarr, Mako, Kevin Michael Richardson, Jeff Bennett",2001,2017,62
5165368,Amazing Stories,52.0,"Action, Adventure, Drama            ",6.2,4436,"    Reimagining the anthology from visionary Steven Spielberg, ""Amazing Stories,"" executive produced by Spielberg, will transport the audience to worlds of wonder through the lens of today's most imaginative filmmakers, directors, and writers.","Robert Forster, Hailey Kilgore, Dylan O'Brien, Austin Stowell",2020, ,5
1299368,Southland,42.0,"Crime, Drama, Thriller            ",8.4,24556,    The lives of Police Officers working for the Los Angeles Police Department.,"Michael Cudlitz, Shawn Hatosy, Regina King, Ben McKenzie",2009,2013,43
4522400,Underground,43.0,"Adventure, Drama, History            ",7.8,4732,"    With the country on the brink of Civil War, the struggle for freedom is more dangerous than ever. Underground follows the story of American heroes and their moving journey to freedom.","Jurnee Smollett, Aldis Hodge, Jessica De Gouw, Alano Miller",2016,2017,20
8965666,Dispatches from Elsewhere,,"Drama, Mystery            ",6.7,3542,"    Feeling as though there's something missing in their lives, four ordinary people stumble across a puzzle hiding just beyond the veil of everyday life, and their eyes are opened to a world of possibility and magic.","Jason Segel, André 3000, Eve Lindley, Richard E. Grant",2020, ,10
6106704,Damnation,60.0,"Crime, Drama, Western            ",7.7,6846,"    An epic saga about the secret history of the 1930s American heartland, centering on the mythic conflict and bloody struggle between big money and the downtrodden.","Logan Marshall-Green, Killian Scott, Sarah Jones, Chasten Harmon",2017,2018,10
2022170,The Client List,42.0,"Crime, Drama            ",6.6,10915,    Riley is a single mother living in a small Texas town and leading a shocking double life.,"Jennifer Love Hewitt, Loretta Devine, Colin Egglesfield, Cybill Shepherd",2011,2013,25
6311972,Raven's Home,22.0,"Comedy, Family            ",7.4,2346,"    Though Raven Baxter is psychic, she would've never guess she'd be a single mother living in an apartment with her twins Nia and Booker Baxter and her best friend Chelsea and son Levi.","Raven-Symoné, Issac Ryan Brown, Navia Ziraili Robinson, Jason Maybaum",2017, ,76
7670568,The Masked Singer,60.0,"Game-Show, Music, Reality-TV            ",6.2,2876,    A singing competition guessing game based on Korean format King of Mask Singer. 12 celebrity performers wear costumes to conceal identities. One singer is eliminated each week and unmasked. Small hints are given for the viewer guess along.,"Adam Hutson, Dymone Priestley, Andrew Scully, Matty Castano",2019, ,56
0863046,Flight of the Conchords,28.0,"Comedy, Music, Musical            ",8.5,55097,"    Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.","Jemaine Clement, Bret McKenzie, Rhys Darby, Kristen Schaal",2007,2009,22
7845644,Single Parents,30.0,Comedy            ,7.1,4757,    A group of single parents form their own support system as they raise their kids and struggle to start new relationships.,"Taran Killam, Leighton Meester, Kimrie Lewis, Jake Choi",2018,2020,45
1865740,Ink Master,60.0,Reality-TV            ,7.4,3091,"    Ten of the country's most creative and skilled tattoo artists are judged by icons of the tattoo world. They compete for a hundred thousand dollars and the title of ""INK MASTER"".","Dave Navarro, Chris Nunez, Oliver Peck, James Steinke",2012, ,233
3597912,The Royals,42.0,Drama            ,7.5,11198,    Drama about a fictional British royal family in modern-day London.,"Joan Collins, William Moseley, Alexandra Park, Jake Maskall",2015,2018,40
1981558,Key and Peele,30.0,"Action, Adventure, Comedy            ",8.3,17165,    Project sees Keegan-Michael Key and Jordan Peele in front of a live studio audience bantering about a topic weaved between filmed shorts and sketches.,"Keegan-Michael Key, Jordan Peele, Metta World Peace, Matt Wheeler",2012,2015,55
10726424,Die Hart,78.0,"Action, Comedy, Thriller            ",6.3,1077,    Kevin Hart plays a fictionalized version of himself on a quest to land the action-movie role of a lifetime.,"Kevin Hart, John Travolta, Nathalie Emmanuel, Jean Reno",2020, ,10
0415463,Zoey 101,30.0,"Comedy, Drama, Family            ",6.1,13715,"    Zoey Brooks and her brother, Dustin, attend their first day at Pacific Coast Academy, a private boarding school that enrolls girls for the first time in its history.","Jamie Lynn Spears, Paul Butcher, Christopher Massey, Erin Sanders",2005,2008,61
5565334,Friends from College,30.0,"Comedy, Drama            ",6.9,18010,"    Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.","Keegan-Michael Key, Cobie Smulders, Annie Parisse, Nat Faxon",2017,2019,16
0273855,My Wife and Kids,30.0,"Comedy, Family            ",6.8,25230,"    Michael Kyle longs for a traditional life, but his day-trader wife Janet, gangsta rap-worshipping son Michael Jr., and brooding daughters Claire and Kady make his dream just that ... a dream.","Damon Wayans, Tisha Campbell-Martin, George Gore II, Parker McKenna Posey",2001,2005,124
8594164,Moonbase 8,,"Comedy, Sci-Fi            ",5.7,2267,"    Fred Armisen, Tim Heidecker and John C. Reilly star in this new comedy series as three astronauts trying to qualify for their first lunar mission. They encounter obstacles along the way including loneliness, self-doubt and incompetence.","John C. Reilly, Tim Heidecker, Fred Armisen, Joshua Davis",2020, ,6
5179408,You Me Her,28.0,"Comedy, Drama, Romance            ",7.0,9259,    Centers around a three-way romantic relationship involving a loving suburban married couple and another woman.,"Greg Poehler, Rachel Blanchard, Priscilla Faia, Melanie Papalia",2016, ,50
7087260,Tales of the City,60.0,Drama            ,7.4,6241,"    A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrigal at 28 Barbary Lane, all of whom quickly become part of what Maupin coined a ""logical family"". It's no longer a secret that Mrs. Madrigal is transgender. Instead, she ...                See full summary »
","Laura Linney, Elliot Page, Paul Gross, Murray Bartlett",2019,,10
4820370,Channel Zero,44.0,"Crime, Drama, Fantasy            ",7.2,9159,"    An anthology series based on popular Internet Creepypastas Candle Cove, The No-End House, Butcher's Block, and The Dream Door.","Brandon Scott, Marina Stephenson Kerr, Abigail Pniowsky, Diana Bentley",2016,2018,24
7712598,Blood & Treasure,60.0,"Action, Adventure            ",6.7,3563,    An antiquities expert teams up with an art thief to catch a terrorist who funds his attacks using stolen artifacts.,"Matt Barr, Sofia Pernas, James Callis, Katia Winter",2019, ,13
0844653,Legend of the Seeker,44.0,"Action, Adventure, Drama            ",7.6,33306,"    After the mysterious murder of his father, a son's search for answers begins a momentous fight against tyranny.","Craig Horner, Bridget Regan, Bruce Spence, Craig Parker",2008,2010,44
2295809,Mistresses,43.0,"Drama, Romance, Thriller            ",7.1,12644,"    Follows the scandalous lives of a group of four girlfriends, each on her own path to self-discovery as they brave the turbulent journey together.","Alyssa Milano, Jes Macallan, Rochelle Aytes, Yunjin Kim", 2013,2016,52
1720601,The Real Housewives of Beverly Hills,44.0,Reality-TV            ,5.0,4898,    A reality series that follows some of the most affluent women in the country as they enjoy the lavish lifestyle that only Beverly Hills can provide.,"Kyle Richards, Adrienne Maloof, Camille Grammer, Lisa Vanderpump",2010, ,231
2152112,My 600-lb Life,85.0,Reality-TV            ,6.6,1247,"    Men and women, all of whom weigh at least 600 pounds, undergo gastric-bypass surgery. The series follows the changes in their weight and in their lives over a year.","Younan Nowzaradan, Lola Clay, Melissa Morris, Donald Shelton",2012, ,141
7671068,Grand Hotel,43.0,"Crime, Drama, Mystery            ",7.0,2958,    A look at the professional and personal lives of people working at a family-run hotel in Miami Beach.,"Demián Bichir, Roselyn Sanchez, Denyse Tontz, Bryan Craig",2019,,13
3839822,The Son,44.0,"Drama, Western            ",7.5,5284,    A multi-generational epic telling of the story of America's birth as a superpower through the bloody rise and fall of one Texas oil empire.,"Pierce Brosnan, Jacob Lofland, Henry Garrett, Paola Nuñez",2017,2019,20
9134194,Trinkets,30.0,"Comedy, Crime, Drama            ",7.1,6852,    An unexpected friendship forms when three teenage girls meet in Shoplifters Anonymous.,"Brianna Hildebrand, Kiana Madeira, Quintessa Swindell, Odiseas Georgiadis",2019,2020,20
0321021,Without a Trace,60.0,"Crime, Drama, Mystery            ",6.9,18099,    The cases of an FBI unit specializing in missing persons investigations.,"Anthony LaPaglia, Poppy Montgomery, Enrique Murciano, Eric Close",2002,2009,160
3768572,Aquarius,42.0,"Biography, Crime, Drama            ",7.1,11154,"    A gritty 1960s cop drama about LAPD detective Sam Hodiak and his trainee, who must deal with gangs, brutal crimes, changing times, family crises and unhinged manipulative small-time crook Charles Manson, who's slowly building his cult.","David Duchovny, Grey Damon, Gethin Anthony, Emma Dumont",2015,2016,26
7403736,V-Wars,60.0,"Drama, Horror, Sci-Fi            ",6.1,11876,    Dr. Luther Swann enters a world of horror when a virus is released from ice melting due to climate change.,"Ian Somerhalder, Adrian Holmes, Jacky Lai, Kyle Breitkopf",2019,,10
1986770,Anger Management,22.0,"Comedy, Romance            ",6.6,29923,"    Ex baseball player Charlie is an anger management therapist with small group sessions at home. He has an OCD teen daughter, an ex-wife and a sex buddy/therapist.","Charlie Sheen, Shawnee Smith, Noureen DeWulf, Michael Arden",2012,2014,100
6951546,Animaniacs,21.0,"Animation, Comedy, Family            ",7.9,1740,    An updated version of the 1990s animated series featuring a trio of wacky characters causing mayhem on the Warner Bros. studio lot.,"Jess Harnell, Maurice LaMarche, Tress MacNeille, Rob Paulsen",2020, ,26
8115460,Pearson,42.0,Drama            ,6.8,1898,    Attorney Jessica Pearson enters the complex and seedy world of Chicago politics.,"Gina Torres, Bethany Joy Lenz, Simon Kassianides, Eli Goree",2019,,10
8923854,Black Summer,40.0,"Action, Drama, Horror            ",6.4,18664,"    In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.","Justin Chu Cary, Jaime King, Christine Lee, Sal Velez Jr.",2019, ,9
1181917,The Suite Life on Deck,30.0,"Action, Adventure, Comedy            ",6.3,16011,"    Spin-off of the hit Disney Channel series ""The Suite Life of Zack & Cody,"" in which twin brothers Zack and Cody Martin and hotel heiress London Tipton enroll in a semester-at-sea program aboard a ship called the SS Tipton.","Dylan Sprouse, Cole Sprouse, Brenda Song, Debby Ryan",2008,2011,71
0321018,What I Like About You,30.0,Comedy            ,6.6,12348,"    When Holly's father is transferred to Japan, she is sent to live with her big sister Valerie in New York City, turning Valerie's life upside down.","Amanda Bynes, Jennie Garth, Wesley Jonathan, Leslie Grossman",2002,2006,86
7186588,I Am the Night,60.0,"Crime, Drama, Mystery            ",7.0,6937,"    In early 1960s, a teenage girl looking for her real father and a disgraced journalist seeking closure find themselves drawn into a web of secrets revolving around L.A.'s most infamous cold case, the Black Dahlia (Elizabeth Short) murder.","Chris Pine, India Eisley, Jefferson Mays, Leland Orser",2019,,6
2771780,Teen Titans Go!,10.0,"Animation, Short, Adventure            ",5.3,17309,"    Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?","Scott Menville, Khary Payton, Greg Cipes, Hynden Walch",2013, ,310
1663676,Awkward.,22.0,"Comedy, Drama, Romance            ",7.5,42508,"    An unpopular 15-year-old gains immediate, yet unwanted, popularity at her high school when the student body mistakes an accident she has for a suicide attempt.","Ashley Rickards, Beau Mirchoff, Jillian Rose Reed, Brett Davern",2011,2016,89
8880894,Living with Yourself,26.0,"Comedy, Drama, Sci-Fi            ",7.2,25054,"    An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that he's been replaced by a new and improved version of himself.","Paul Rudd, Aisling Bea, Desmin Borges, Karen Pittman",2019, ,8
9104072,50 States of Fright,7.0,"Short, Drama, Horror            ",6.6,997,"    Quibi series explores stories based on urban legends from different places in the United States, taking viewers deeper into the horrors that lurk just beneath the surface.","Jacob Batalon, Rachel Brosnahan, Asa Butterfield, Taissa Farmiga",2020, ,24
3598030,K.C. Undercover,30.0,"Action, Comedy, Family            ",6.2,3466,    An outspoken and confident technology wiz and skilled black belt discovers that both her parents are spies and expect her to follow in their footsteps.,"Zendaya, Veronica Dunne, Kamil McFadden, Trinitee",2015,2018,76
9252156,Departure,45.0,"Drama, Mystery, Thriller            ",6.6,1211,    A high-octane conspiracy series that follows the mystery of Flight 716 - a passenger plane that vanishes over the Atlantic Ocean.,"Archie Panjabi, Kris Holden-Ried, Christopher Plummer, Mark Rendall",2019,,12
2487090,Sam & Cat,30.0,"Comedy, Drama, Family            ",5.7,7479,    A pair of roommates start a baby-sitting service to earn extra cash.,"Jennette McCurdy, Ariana Grande, Cameron Ocasio, Maree Cheatham",2013,2020,35
1830491,Austin & Ally,30.0,"Comedy, Family, Music            ",6.0,9380,"    Following the lives of Austin, an aspiring confident musician, Ally, a quiet talented songwriter and their two friends.","Ross Lynch, Laura Marano, Raini Rodriguez, Calum Worthy",2011,2016,87
1797404,House of Lies,28.0,"Comedy, Drama            ",7.4,23802,"    Charming, fast talking Marty Kaan and his crack team of management consultants use every dirty trick in the book to woo powerful CEOs and close huge deals in this scathing, irreverent satire of corporate America today.","Don Cheadle, Kristen Bell, Ben Schwartz, Josh Lawson",2012,2016,58
11639414,The Midnight Gospel,23.0,"Animation, Adventure, Comedy            ",8.3,11611,"    Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.","Phil Hendrie, Duncan Trussell, Joey Diaz, Doug Lussenhop",2020, ,8
3186130,Vinyl,60.0,"Drama, Music            ",7.8,21691,    A New York music executive in the 1970s hustles to make a career out of the city's diverse music scene.,"Bobby Cannavale, Paul Ben-Victor, P.J. Byrne, Max Casella",2016,,10
2815522,Southern Charm,43.0,Reality-TV            ,6.2,793,"    The notoriously closed society of Charleston, South Carolina unlocks the gates of their centuries-old plantation homes for a real-life look at how modern-day Southern aristocracy lives. Get...                See full summary »
","Kathryn Dennis, Craig Conover, Shep Rose, Cameran Eubanks",2013, ,105
0445114,Extras,30.0,"Comedy, Drama            ",8.3,53069,"    Andy Millman (Ricky Gervais) is an actor with ambition and a script. Reduced to working as an extra with a useless agent, Andy's attempts to boost his career invariably end in failure and embarrassment.","Ricky Gervais, Ashley Jensen, Stephen Merchant, Shaun Williamson",2005,2007,13
3766376,Vice Principals,30.0,Comedy            ,8.0,21220,    An over protective father is obsessed with becoming a principal and competes against the popular vice principal. However something happens that makes them work together to save the day.,"Danny McBride, Walton Goggins, Sheaun McKinney, Georgia King",2016,2018,18
2226342,Devious Maids,60.0,"Comedy, Drama, Mystery            ",7.8,21792,    Four Latina maids with ambition and dreams of their own work for the rich and famous in Beverly Hills.,"Ana Ortiz, Dania Ramirez, Roselyn Sanchez, Judy Reyes",2013,2016,49
0247144,"Yes, Dear",30.0,Comedy            ,7.0,6537,"    Yes, Dear is a comedy about two young couples and their outrageously contrasting views on parenting.","Anthony Clark, Liza Snyder, Jean Louisa Kelly, Mike O'Malley",2000,2006,122
10394844,Soulmates,269.0,"Drama, Romance, Sci-Fi            ",5.6,1109,"    This takes place 15 years from now, when science makes a discovery that changes the lives of everyone on the planet - a way to find your soulmate through six provocative stories about the cost of finding true love.","Patrick Bayele, Betsy Brandt, Laia Costa, David Costabile",2020, ,8
2236126,Power Rangers Megaforce,24.0,"Action, Adventure, Family            ",5.7,1392,    A evil galactic armada came to destroy planet earth and now the megaforce ranger need to harness the power of the past ranger to become the power ranger super megaforce,"Andrew Gray, Ciara Hanna, John Mark Loudermilk, Christina Masterson",2013,2014,42
4422836,Limitless,42.0,"Comedy, Crime, Drama            ",7.7,61866,    An average twenty-eight-year-old man who gains the ability to use the full extent of his brain's capabilities is hired by the F.B.I. as a consultant.,"Jake McDorman, Jennifer Carpenter, Hill Harper, Mary Elizabeth Mastrantonio",2015,2016,22
4150832,No Small Parts,30.0,"Documentary, Biography            ",7.9,821,    No Small Parts is a fan-made documentary web series about character actors. Most episodes focus on a specific character actor and chronicle their life and career in the entertainment industry.,"Brandon Hardesty, Ashwini Kulkarni, Shweta Tripathi, Wesley Mann",2014, ,277
8762206,Creepshow,44.0,"Fantasy, Horror, Mystery            ",7.0,3985,    The fictional Creepshow comic books come to life in this anthology series of terrifying tales hosted by the silent Creepshow ghoul.,"Carey Jones, Adrienne Barbeau, Logan Allen, Connor Christie",2019, ,10
5324116,Swedish Dicks,30.0,"Comedy, Crime            ",6.7,2692,    Two unlicensed Swedish private investigators try to make a living in Los Angeles.,"Peter Stormare, Johan Glans, Vivian Bang, Felisha Cooper",2016, ,20
4803766,Alone,44.0,"Documentary, Reality-TV            ",8.4,3273,"    Ten survival ""experts"" attempt to survive alone. The winner receives $500,000.","Nicole Apelian, Dan, David, Desmond",2015, ,84
10327526,Filthy Rich,,Drama            ,6.0,1136,    The heirs of a wealthy Southern businessman hatch a plan to get a piece of his fortune.,"Kim Cattrall, Melia Kreiling, Steve Harris, Aubrey Dollar",2020,,10
0312098,Birds of Prey,60.0,"Action, Adventure, Drama            ",6.4,4649,"    In the future, long after the Batman has driven himself into exile, his legacy lives on in the form of the Birds of Prey--Black Canary, Oracle, and the Huntress.","Ashley Scott, Dina Meyer, Rachel Skarsten, Shemar Moore",2002,2003,14
0348913,Dead Like Me,60.0,"Comedy, Drama, Fantasy            ",8.1,40025,"    After being hit on the head by a toilet seat, a young temp clerk becomes a grim reaper in death.","Ellen Muth, Callum Blue, Jasmine Guy, Mandy Patinkin",2003,2004,29
1570957,Worst Cooks in America,60.0,"Comedy, Game-Show, Reality-TV            ",6.3,1162,    Some of the worst cooks in the country will compete in an elimination series. The last two standing have the chance to cook for culinary critics and win a cash prize.,"Anne Burrell, Tyler Florence, Bobby Flay, Rachael Ray",2010, ,165
6076336,Greenhouse Academy,25.0,Drama            ,6.9,4805,"    Almost a year after their astronaut mother's tragic death, brother and sister Hayley and Alex Woods begin to attend an elite boarding school for future leaders. However they soon realise that everything is not as it seems.","Ariel Mortman, Finn Roberts, Chris O'Neal, Cinthya Carmona",2017,2020,40
4549142,Elena of Avalor,24.0,"Animation, Action, Adventure            ",6.4,1150,"    Princess Elena has saved her magical kingdom, Avalor, from an evil sorceress and must learn to rule as its crown princess. Elena's adventures will lead her to understand that her new role requires thoughtfulness, resilience and compassion.","Aimee Carrero, Jenna Ortega, Christian Lanz, Jillian Rose Reed",2016,2020,78
7078710,Everything Sucks!,30.0,"Comedy, Drama            ",7.5,14954,"    In 1990s Oregon, members of a high school A/V club clash with the drama club.","Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako",2018,,10
0273028,Undeclared,22.0,Comedy            ,7.9,16260,"    College freshman Steve Karp, his girlfriend and their fellow dormmates embark on one the greatest experiences of their lives. Unfortunately for Steve, his lonely and recently divorced father is tagging along for the ride.","Jay Baruchel, Carla Gallo, Charlie Hunnam, Monica Keena",2001,2003,18
8026448,Tacoma FD,30.0,Comedy            ,8.0,2798,    Comedic look at firefighters battling their own boredom.,"Kevin Heffernan, Steve Lemme, Eugene Cordero, Marcus Henderson",2019, ,24
1819509,Don't Trust the B---- in Apartment 23,22.0,Comedy            ,7.3,34306,"    Chloe is a New York party girl with the morals of a pirate. She causes trouble for her naive small town roommate, June, and Chloe's best friend, James Van Der Beek.","Krysten Ritter, Dreama Walker, Michael Blaiklock, Eric André",2012,2013,26
1734135,Trollhunters,23.0,"Animation, Action, Adventure            ",8.5,13300,"    An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.","Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer",2016,2018,54
8682186,David's Vlog,4.0,Comedy            ,9.2,452,"    David Dobrik, a former Vine star, creates vlogs with his friends in Los Angeles who are all also former Viners. With the brain of a 9-year-old and the money of a pimp, they pull all kinds of pranks, surprises, and more.","David Dobrik, Alex Ernst, Liza Koshy, Zane Hijazi",2015, ,141
3489184,Constantine,43.0,"Drama, Fantasy, Horror            ",7.5,48895,    A man struggling with his faith who is haunted by the sins of his past is suddenly thrust into the role of defending humanity from the gathering forces of darkness.,"Matt Ryan, Harold Perrineau, Charles Halford, Angélica Celaya",2014,2015,13
5614844,Cloak & Dagger,44.0,"Action, Adventure, Drama            ",6.7,17166,    Two teenagers from very different backgrounds find themselves burdened and awakened to newly acquired superpowers while growing closer together every day.,"Olivia Holt, Aubrey Joseph, Gloria Reuben, Emma Lahana",2018,2019,20
0383126,MythBusters,44.0,"Documentary, Mystery, Reality-TV            ",8.3,50135,    A weekly documentary in which two Hollywood special effects experts attempt to debunk urban legends by directly testing them.,"Robert Lee, Jamie Hyneman, Adam Savage, Kari Byron",2003, ,299
6064882,Room 104,30.0,"Comedy, Drama, Fantasy            ",6.1,5122,"    Anthology series set in room 104 of a seemingly average American motel, telling each time a different story of the assorted guests who pass through, which can range from funny and fantastical to dramatic and horrifying.","Jennifer Lafleur, Jon Bass, Jenny Leonhardt, Kristina Harrison",2017,2020,48
1001482,United States of Tara,30.0,"Comedy, Drama, Romance            ",7.9,21787,    A woman struggles to find a balance between her dissociative identity disorder and raising a dysfunctional family.,"Toni Collette, John Corbett, Rosemarie DeWitt, Keir Gilchrist",2009,2011,36
2288064,Witches of East End,60.0,"Comedy, Drama, Fantasy            ",7.6,24120,"    Two sister, bartender and librarian, discover as adults that they're witches with magical powers. They, their mom and her sister, all witches, are up against a mortal enemy.","Julia Ormond, Jenna Dewan, Rachel Boston, Mädchen Amick",2013,2014,23
1279972,Treme,59.0,"Drama, Music            ",8.2,13464,"    Life after Hurricane Katrina as the residents of New Orleans try to rebuild their lives, their homes, and their unique culture in the aftermath of one of the worst natural disasters in the USA.","Khandi Alexander, Rob Brown, Kim Dickens, Melissa Leo",2010,2013,38
3079768,Dominion,90.0,"Action, Drama, Fantasy            ",6.8,22583,    Follows the perilous journey of a rebellious young soldier who discovers he's the unlikely savior of humanity.,"Christopher Egan, Tom Wisdom, Roxanne McKee, Luke Allen-Gale",2014,2015,21
3579018,Emerald City,60.0,"Adventure, Drama, Fantasy            ",7.2,11771,    A modern reimagining of the stories that led to 'The Wizard of Oz'.,"Adria Arjona, Oliver Jackson-Cohen, Ana Ularu, Gerran Howell",2016,2017,10
5707802,Dear White People,30.0,"Comedy, Drama            ",6.2,22239,"    At a predominantly white Ivy League college, a group of black students navigate various forms of racial and other types of discrimination.","Logan Browning, Brandon P Bell, DeRon Horton, Antoinette Robertson",2017,2021,40
2535732,The Haunted Hathaways,30.0,"Comedy, Family, Fantasy            ",5.2,1735,"    After being uprooted from New York to New Orleans, the Hathaways were ready to just get back to their normal lives in their new home, but little did they know that a family of ghosts had the same idea.","Chico Benymon, Ginifer King, Amber Frank, Breanna Yde",2013,2015,49
9642938,Unsolved Mysteries,45.0,"Documentary, Crime, Mystery            ",7.3,7307,"    Immersive, character-driven stories are rooted in the experiences of ordinary people who have lived the unthinkable. Families, detectives and journalists hope viewers hold the clues to solving these mysteries.","Pistol Black, Myrtle Carter, Jane Green, Teruo Konno",2020, ,12
7406334,Black Monday,582.0,Comedy            ,7.4,4129,    A group of outsiders takes on the 1980s old-boys club of Wall Street.,"Don Cheadle, Andrew Rannells, Paul Scheer, Regina Hall",2019, ,21
4859164,The Loud House,22.0,"Animation, Action, Adventure            ",7.2,3500,"    Lincoln Loud is an eleven-year-old boy who lives with ten sisters. With the help of his right-hand man Clyde, Lincoln finds new ways to survive in such a large family every day.","Grey Griffin, Lara Jill Miller, Jessica DiCicco, Catherine Taber",2016, ,118
6294706,The Chi,60.0,Drama            ,7.4,4321,"    From Emmy® winner Lena Waithe, The Chi is a timely coming-of-age drama series centered on a group of residents who become linked by coincidence but bonded by the need for connection and redemption.","Jason Mitchell, Jacob Latimore, Ntare Guma Mbaho Mwine, Alex R. Hibbert",2018, ,31
8594276,Jett,,"Crime, Drama, Thriller            ",7.4,3994,"    World-class thief Daisy ""Jett"" Kowalski is just out of prison and already being forced back into what got her there, by a group of eccentric and dangerous criminals.","Carla Gugino, Elena Anaya, Michael Aronov, Gaite Jansen",2019, ,9
8045468,Run,,"Comedy, Romance, Thriller            ",6.2,6171,"    Two ex-lovers, a married American woman and an aspiring British writer, activate a long-planned escape plan and disappear together for a week. They soon get into trouble and a female cop goes after them.","Merritt Wever, Domhnall Gleeson, Rich Sommer, Archie Panjabi", 2020,,7
9164986,The Baker and the Beauty,43.0,"Comedy, Drama, Musical            ",7.3,1941,    A blue-collar baker strikes up a relationship with an international superstar. US version of the Israeli romantic comedy series 'The Baker and the Beauty'.,"Victor Rasuk, Nathalie Kelley, Dan Bucatinsky, David Del Rio",2020,,9
0383718,W.I.T.C.H.,30.0,"Animation, Action, Adventure            ",7.2,3089,"    Five teenage girls learn that they have been chosen to guard the walls between parallel universes. For this purpose, they have been given the powers of the elements.","Kelly Stables, Candi Milo, Liza Del Mundo, Lauren Tom",2004,2006,52
12564744,Selena + Chef,,Reality-TV            ,8.1,506,"    Cooking series features the multi-platinum selling recording artist, actress, producer, entrepreneur, and philanthropist as she navigates unfamiliar territory: making delicious meals while stuck at home in quarantine.","Selena Gomez, Aarti Sequeira, Jordan Andino, José Andrés",2020, ,20
3973768,Hand of God,60.0,"Crime, Drama            ",7.5,10467,    A morally-corrupt judge suffers a breakdown and believes God is compelling him onto a path of vigilante justice.,"Garret Dillahunt, Emayatzy Corinealdi, Julian Acosta, Ron Perlman",2014,2017,20
