IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes,Seasons,Distributor,Genres,Story
1190634,The Boys,60.0,"Action, Comedy, Crime            ",8.7,242438,    A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty",2019, ,19,3,Amazon Studios,"Action ,Comedy ,Crime ,Sci-Fi","The Boys is set in a universe in which superpowered people are recognized as heroes by the general public and owned by a powerful corporation, Vought International, which ensures that they are aggressively marketed and monetized. Outside of their heroic personas, most are arrogant and corrupt. The series primarily focuses on two groups: the titular Boys, vigilantes looking to keep the corrupted heroes under control, and the Seven, Vought International's premier superhero team. The Boys are led by Billy Butcher, who despises all superpowered people, and the Seven are led by the egotistical and unstable Homelander. As a conflict ensues between the two groups, the series also follows the new members of each team: Hugh ""Hughie"" Campbell of the Boys, who joins the vigilantes after his girlfriend is killed in a high-speed collision by the Seven's A-Train, and Annie January/Starlight of the Seven, a young and hopeful heroine forced to face the truth about the heroes she admires."
4574334,Stranger Things,51.0,"Drama, Fantasy, Horror            ",8.7,817149,"    When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",2016, ,34,4,Netflix,"Drama ,Fantasy ,Horror ,Mystery ,Sci-Fi ,Thriller","In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to the disappearance of a child, which begins to tear at the fabric of an otherwise peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that there's more going on than meets the eye."
5555260,This Is Us,45.0,"Comedy, Drama, Romance            ",8.7,105466,"    A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",2016, ,81,6,National Broadcasting Company,"Comedy ,Drama ,Romance","Rebecca Pearson once had a difficult pregnancy with triplets. The resulting births occurred on the same day as her husband Jack Pearson's thirty-sixth birthday. The lives of Rebecca, Jack and their three offspring - Kevin, Kate and Randall - are presented at different points in time. The Rebecca and Jack stories generally take place during the early stage of their marriage, surrounding the birth of the three children or at different phases of the children's upbringing, which was not always smooth sailing for any of the five. Separate stories concerning Kevin, Kate and Randall are also presented in their adult years, each who has his or her own baggage resulting from that upbringing: Kevin who was generally the neglected one because he had no outward issues; Kate who has always had weight issues; Randall, the gifted one, being the visible outsider and being the ""non-K"" child. These stories may demonstrate the emotional ties that exist not only because of being family, but also because ..."
0364845,NCIS: Naval Criminal Investigative Service,60.0,"Action, Crime, Drama            ",7.7,119180,"    The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Mark Harmon, David McCallum, Sean Murray, Pauley Perrette",2003, ,405,18,CBS,"Action ,Crime ,Drama ,Mystery ,Thriller","Special Agent Leroy Jethro Gibbs is the leader of a team of special agents belonging to the NCIS (Naval Criminal Investigative Service) Major Case Response Team. Gibbs, a former Marine, is a tough investigator and a highly skilled interrogator who relies on his gut instinct as much as evidence. Gibbs' second in command is Senior Field Agent Tony DiNozzo, a womanizing, movie-quoting former Baltimore Homicide Detective, who despite being the class clown always gets the job done. The team also consists of probationary field agent Eleanor Bishop, a former NSA agent, as well as Junior Field Agent Timothy McGee, a computer-savvy agent often mocked by DiNozzo. Assisting them are Abby Sciuto, the energetic-but-Goth lab tech who is like a daughter to Gibbs, and Dr. Donald Mallard, nicknamed Ducky, the eccentric medical examiner full of unusual stories. This team of elite agents, based in Washington, D.C., solve criminal cases involving Marine and Navy personnel and their families, sometimes ..."
1898069,American Gods,60.0,"Drama, Fantasy, Mystery            ",7.8,74176,"    A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past.","Ricky Whittle, Emily Browning, Yetide Badaki, Bruce Langley",2017, ,26,3,Starz!,"Drama ,Fantasy ,Mystery","Shadow is a man with a past. But now he wants nothing more than to live a quiet life with his wife and stay out of trouble. Until he learns that she's been killed in a terrible accident. Flying home for the funeral, as a violent storm rocks the plane, he is greeted by a strange man in the seat next to him. The man calls himself Mr. Wednesday, and he knows more about Shadow than is possible. He warns Shadow that a far bigger storm is coming. And from that moment on, nothing will ever be the same."
5420376,Riverdale,45.0,"Crime, Drama, Mystery            ",6.9,116595,"    While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",2017, ,83,5,The CW Network,"Crime ,Drama ,Mystery ,Romance","After the death of one of the rich and popular Blossom twins on the 4th of July, the small town of Riverdale investigates the murder. The series starts in September, the beginning of a new school year, that brings with it new students, relationships, and reveals the mysteries of the past 4th of July."
0898266,The Big Bang Theory,22.0,"Comedy, Romance            ",8.1,721190,    A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",2007,2019,280,12,CBS,"Comedy ,Romance","Leonard Hofstadter and Sheldon Cooper are both brilliant physicists working at Cal Tech in Pasadena, California. They are colleagues, best friends, and roommates, although in all capacities their relationship is always tested primarily by Sheldon's regimented, deeply eccentric, and non-conventional ways. They are also friends with their Cal Tech colleagues mechanical engineer Howard Wolowitz and astrophysicist Rajesh Koothrappali. The foursome spend their time working on their individual work projects, playing video games, watching science-fiction movies, or reading comic books. As they are self-professed nerds, all have little or no luck with women. When Penny, a pretty woman and an aspiring actress from Omaha, moves into the apartment across the hall from Leonard and Sheldon's, Leonard has another aspiration in life, namely to get Penny to be his girlfriend."
4052886,Lucifer,42.0,"Crime, Drama, Fantasy            ",8.1,230543,    Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside",2016, ,93,6,Warner Bros.,"Crime ,Drama ,Fantasy","Lucifer Morningstar, bored from his sulking life in hell, comes to live in Los Angeles. While there, he helps humanity with its miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While meeting with a Detective in his nightclub (Lux), a shootout involving him and the Detective leads him to become an LAPD consultant who tries to punish people for their crimes through law and justice."
11794642,Big Sky,60.0,"Crime, Drama, Thriller            ",6.5,3756,    A private detective teams up with an ex-cop to solve a kidnapping case in Montana.,"Katheryn Winnick, Kylie Bunbury, Brian Geraghty, Dedee Pfeiffer",2020, ,16,1,American Broadcasting Company,"Crime ,Drama ,Mystery ,Thriller",A private detective teams up with an ex-cop to solve a kidnapping case in Montana.
2467372,Brooklyn Nine-Nine,22.0,"Comedy, Crime            ",8.4,223125,"    Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",2013, ,153,8,Fox Network,"Comedy ,Crime","Captain Ray Holt takes over Brooklyn's 99th precinct, which includes Detective Jake Peralta, a talented but carefree detective who's used to doing whatever he wants. The other employees of the 99th precinct include Detective Amy Santiago, Jake's over achieving and competitive partner; Detective Rosa Diaz, a tough and kept to herself coworker; Detective Charles Boyle, Jake's best friend who also has crush on Rosa; Detective Sergeant Terry Jeffords, who was recently taken off the field after the birth of his twin girls; and Gina Linetti, the precinct's sarcastic administrator."
